"","id","longitude","latitude","oid","sr_no","height_m","canopy_dia_m","condition","other_remarks","ownership","society_name","road_name","balanced","remarks","special_collar","botanical_name","common_name","local_name","economic_i","phenology","flowering","ward","dbh"
"1",1,73.909639008,18.472541624,"NA","NA",3,2,"Healthy","NA","Private","Raheja Vistas Phase 1","Vibgyor School Road",TRUE,"NA",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",45,6.04788783749202
"2",2,73.9092762400001,18.4725406700001,"NA","NA",4,2,"Healthy","NA","Private","Raheja Vistas Phase 1","Vibgyor School Road",TRUE,"NA",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",45,5.72957795130823
"3",3,73.909305744,18.4725893240001,"NA","NA",4,2,"Healthy","NA","Private","Raheja Vistas Phase 1","Vibgyor School Road",TRUE,"NA",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",45,6.04788783749202
"4",4,73.9067794380001,18.50783708,"NA","NA",3,1,"Healthy","NA","Private","Sepulchre Cemetry","Pune Solapur Highway Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",41,3.81971863420549
"5",5,73.891602494,18.6021111200001,"NA","NA",2,1,"Healthy","NA","Public","N/A","Bhau Patil Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"6",6,73.8909668100001,18.602093326,"NA","NA",2,1,"Healthy","NA","Public","N/A","Bhau Patil Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"7",7,73.8912296670001,18.6021899250001,"NA","NA",2,1,"Healthy","NA","Public","N/A","Bhau Patil Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"8",8,73.8913842290001,18.602408543,"NA","NA",2,1,"Healthy","NA","Public","N/A","Bhau Patil Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"9",9,73.8911250610001,18.602115569,"NA","NA",2,1,"Healthy","NA","Public","N/A","Bhau Patil Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"10",10,73.8915367800001,18.6018759770001,"NA","NA",3,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.77464829275686
"11",11,73.8913741710001,18.602299234,"NA","NA",3,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.77464829275686
"12",12,73.890951052,18.602001493,"NA","NA",2,1,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"13",13,73.8908497990001,18.602302094,"NA","NA",2,1,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"14",14,73.8909238950001,18.6021921490001,"NA","NA",2,1,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"15",15,73.8910680640001,18.6020462970001,"NA","NA",2,1,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.13802852038928
"16",16,73.891043924,18.6023224310001,"NA","NA",4,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.77464829275686
"17",17,73.891337961,18.6021336810001,"NA","NA",4,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.77464829275686
"18",18,73.8916527850001,18.6019868760001,"NA","NA",4,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.77464829275686
"19",19,73.8911136610001,18.6019601840001,"NA","NA",4,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,7.0028174960434
"20",20,73.8912973930001,18.60344253,"NA","NA",3,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.77464829275686
"21",21,73.8912018390001,18.6033875580001,"NA","NA",2,1,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.13802852038928
"22",22,73.8914794470001,18.6033627730001,"NA","NA",4,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,6.6845076098596
"23",23,73.8914546370001,18.603443483,"NA","NA",3,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,7.0028174960434
"24",24,73.8912812990001,18.603344978,"NA","NA",3,2,"Healthy","NA","Public","Parande Nager","Dhanori Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,4.77464829275686
"25",25,73.8912296670001,18.6021899250001,"NA","NA",2,1,"Healthy","NA","Public","N/A","Bhau Patil Road",TRUE,"Cut",NA,"Acacia catechu (L.f.) Willd.","Gum Arabic Tree","Khair","Medicinal","Seasonal","August-October",1,3.81971863420549
"26",26,73.900902718,18.5172025750001,"NA","NA",5,3,"Healthy","NA","Private","Na","Dobarwadi Road",TRUE,"Cut",NA,"Acacia nilotica (Linn.) Del.","Babul","Babool","Timber wood","Seasonal","October-December",41,18.7802832848437
"27",27,73.900891319,18.5172283260001,"NA","NA",6,4,"Healthy","NA","Private","Na","Dobarwadi Road",TRUE,"Cut",NA,"Acacia nilotica (Linn.) Del.","Babul","Babool","Timber wood","Seasonal","October-December",41,17.8253536262923
"28",28,73.9009134470001,18.517086216,"NA","NA",7,3,"Healthy","NA","Private","Na","Dobarwadi Road",TRUE,"Cut",NA,"Acacia nilotica (Linn.) Del.","Babul","Babool","Timber wood","Seasonal","October-December",41,17.8253536262923
"29",29,73.813987412,18.559762407,"NA","NA",4,2,"Healthy","NA","Private","N/A","Iti Road",TRUE,"NA",NA,"Acacia nilotica (Linn.) Del.","Babul","Babool","Timber wood","Seasonal","October-December",8,9.54929658551372
"30",30,73.813925721,18.5597833840001,"NA","NA",4,2,"Healthy","NA","Private","N/A","Iti Road",TRUE,"NA",NA,"Acacia nilotica (Linn.) Del.","Babul","Babool","Timber wood","Seasonal","October-December",8,11.1408460164327
"31",31,73.8139082860001,18.5598081750001,"NA","NA",4,11,"Healthy","NA","Private","N/A","Iti Road",TRUE,"NA",NA,"Acacia nilotica (Linn.) Del.","Babul","Babool","Timber wood","Seasonal","October-December",8,11.1408460164327
"32",32,73.852959152,18.52228911,"NA","NA",5,3,"Healthy","NA","Government","River Side","Congress House Road",TRUE,"NA","NA","Acacia nilotica (Linn.) Del.","Babul","Babool","Timber wood","Seasonal","October-December",24,8.91267681314614
"33",33,73.8537305680001,18.522659763,"NA","NA",3,2,"Average","NA","Government","River Side","Congress House Road",TRUE,"NA","NA","Acacia nilotica (Linn.) Del.","Babul","Babool","Timber wood","Seasonal","October-December",24,14.9605646506382
