genus,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.family,n.order
Acacia,2.5464790894703255,3.183098861837907,3.819718634205488,6.366197723675814,3.819718634205488,27.374650211806,241.27889372731335,8.493115338952418,7.221030569625466,231355,85.02216538267504,0.01501273223438071,2,2,2,3,2,10,25,3.9635884247152644,2.2016064635979746,231355,55.54578900951688,0.004577203766801468,0.45,0.45,0.7233333333333333,0.7233333333333333,0.7233333333333333,0.801,0.98,0.7352718279481821,0,231355,0,0,8008.781739581958,8054.573978379223,8114.59341574898,8150.142152220074,8114.59341574898,8256.15718768929,8314.567995173782,8147.949961957218,52.0784350070159,100,0.6391599758242273,5.20784350070159,11,11,1,1
Acer,18.78028328484365,18.78028328484365,18.78028328484365,18.78028328484365,18.78028328484365,18.78028328484365,18.78028328484365,18.78028328484365,NA,1,NA,NA,8,8,8,8,8,8,8,8,NA,1,NA,NA,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,NA,1,NA,NA,0.022759727655377218,0.033773903176521194,0.05447168957780854,0.0783796544401294,0.05447168957780854,0.1650276887352488,0.190983427929777,0.08457870663185915,0.034914380539863316,100,41.28034339876243,0.0034914380539863314,1,1,1,1
Acrocarpus,20.371832715762604,20.371832715762604,20.371832715762604,20.371832715762604,20.371832715762604,20.371832715762604,20.371832715762604,20.371832715762604,NA,1,NA,NA,10,10,10,10,10,10,10,10,NA,1,NA,NA,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,NA,1,NA,NA,0.04412132277872463,0.04669358016614003,0.08926655384522823,0.11338005117115059,0.08926655384522823,0.2464955135409726,0.37727169585130144,0.12573629281024215,0.05428716318516899,100,43.17541258123279,0.005428716318516899,1,1,1,1
Adansonia,3.183098861837907,3.4775355065579134,12.891550390443523,22.91831180523293,12.891550390443523,165.5927605399625,190.9859317102744,38.71137923512101,42.20898113125838,78,109.03507435086212,4.779225996956644,2,2.925,6,7,6,12.150000000000006,15,6.9743589743589745,2.5378913374871748,78,36.388883147794054,0.28735960765912394,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0,78,0,0,25.98195210699236,28.303953291243754,32.37722053953905,35.62794795259944,32.37722053953905,46.629895758531276,50.3562693108264,35.8474574692129,4.721126988796996,100,13.170046977115941,0.47211269887969964,1,1,1,1
Adenanthera,2.5464790894703255,2.5464790894703255,7.639437268410976,12.095775674984045,7.639437268410976,44.81803197467774,55.70423008216337,14.826539435402882,11.085319672264552,57,74.76673650356315,1.4682864594324065,3,3,4,7,4,12.600000000000001,14,6.701754385964913,2.9878618267482433,57,44.583278566662266,0.39575196679675184,0.6869999999999999,0.6869999999999999,0.6869999999999999,0.6869999999999999,0.6869999999999999,0.6869999999999999,0.6869999999999999,0.6869999999999999,0,57,0,0,4.506637496413149,4.921153704079007,5.363867846201254,5.692800188638837,5.363867846201254,7.366854231428519,8.569656397350295,5.804644678015718,0.6349357501679412,100,10.93840855707623,0.06349357501679412,1,1,1,1
Adonidia,5.092958178940651,5.092958178940651,11.459155902616464,17.507043740108486,11.459155902616464,48.5104266544097,48.70141258611997,23.723830700881706,15.738390993522193,49,66.34000719343048,2.2483415705031704,2,2,4,6,4,12,12,6.3061224489795915,2.75532878885513,49,43.69291606922375,0.3936183984078757,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0,49,0,0,8.322653042562994,8.615500453567545,9.457491994523814,10.10174994838593,9.457491994523814,12.439558184788202,13.393234181393074,10.217516288364735,1.0692895268693996,100,10.465258842670604,0.10692895268693996,1,1,1,1
Aegle,2.5464790894703255,3.183098861837907,5.092958178940651,9.867606471697512,5.092958178940651,39.152116000606256,70.02817496043394,13.03093964849425,10.193029244743837,3092,78.22175161345069,0.18330889000267106,2,2,3,5,3,12,19,5.390362225097024,2.6795795356674175,3092,49.71056533439525,0.048188888559341246,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0,3092,0,0,300.43144043325015,302.0442358681021,307.4921206100431,311.5527199029756,307.4921206100431,320.3744331077639,323.10046634015066,311.20055857527956,5.031397840675827,100,1.6167701830968049,0.5031397840675826,1,1,1,1
Agathis,7.002817496043395,7.4086626009277285,11.061268544886726,13.687325105903,11.061268544886726,15.255001295358166,15.278874536821952,12.414085561167836,3.8285503653808965,4,30.840373594305497,1.9142751826904483,6,6,6,7,6,11.7,12,8,2.8284271247461903,4,35.35533905932738,1.4142135623730951,0.4008,0.4008,0.4008,0.4008,0.4008,0.4008,0.4008,0.4008,0,4,0,0,0.06729962648505491,0.07927656178885624,0.11229171740688218,0.1313535235427279,0.11229171740688218,0.2347654034549392,0.2850904675407715,0.136996268313865,0.03869692922853433,100,28.246703143678204,0.0038696929228534327,1,1,1,1
Ailanthus,2.5464790894703255,3.183098861837907,5.729577951308232,11.140846016432674,5.729577951308232,75.04155566782866,159.15494309189535,19.045991994538547,19.194095609993784,1531,100.77761040484374,0.49054636109924327,2,2,3,5,3,15,23,6.488569562377531,3.7620872706849076,1531,57.980225603166836,0.09614822486407645,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,1531,0,0,257.6115284126998,263.5210296198277,270.7510278737961,275.7930386532352,270.7510278737961,294.0141612534914,298.03330331463536,275.57818687794247,7.385650738312243,100,2.6800563651227787,0.7385650738312244,1,1,1,1
Alangium,3.183098861837907,3.2785918276930444,3.9788735772973833,9.549296585513721,3.9788735772973833,37.57648206399649,41.061975317709,13.050705333535419,13.437051359976486,7,102.96034594734357,5.078728036071432,4,4.15,5.5,6,5.5,7.85,8,6,1.2909944487358056,7,21.51657414559676,0.48795003647426655,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,7,0,0,0.32064357839730223,0.40922957497872176,0.5929755926648943,0.7163472319490303,0.5929755926648943,1.1325254148666466,1.444387498497876,0.7213797902151935,0.19713525362275244,100,27.32752653965332,0.019713525362275244,1,1,1,1
