family,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.genus,n.order
Achariaceae,3.819718634205488,3.819718634205488,4.138028520389279,7.957747154594767,4.138028520389279,20.117184806815576,20.690142601946395,9.83223870656598,6.446157243090808,9,65.56143962194548,2.1487190810302694,2,2,3,4,3,7.600000000000001,8,4.222222222222222,1.986062547968831,9,47.03832350452494,0.6620208493229437,0.6312857142857143,0.6312857142857143,0.6312857142857143,0.6312857142857143,0.6312857142857143,0.6312857142857143,0.6312857142857143,0.6312857142857143,0,9,0,0,0.14210157013832603,0.17153558247731307,0.22700164126664918,0.2596253990911329,0.22700164126664918,0.38361507044834225,0.6265880398818813,0.2694381656559343,0.06724392365834052,100,24.95708931755767,0.0067243923658340515,1,1,1,1
Anacardiaceae,2.5464790894703255,3.183098861837907,7.002817496043395,13.36901521971921,7.002817496043395,54.11268065124442,222.18030055628589,17.259950257220602,14.512793292383403,83184,84.0836333599053,0.05031889663221391,2,2,4,6,4,13,25,6.370179361415657,3.0249754151503865,83184,47.4865030249029,0.01048822388380776,0.2944,0.3973333333333333,0.5525,0.5525,0.5525,0.5525,0.5866666666666667,0.5349845326825672,0,83184,0,0,11778.55410524059,11852.775040363365,11951.679675969806,12004.526598808632,11951.679675969806,12190.051234005237,12233.562545653707,12007.960598374328,85.7857218035528,100,0.7144070893700861,8.57857218035528,7,7,7,1
Annonaceae,2.5464790894703255,3.183098861837907,6.366197723675814,11.140846016432674,6.366197723675814,38.197186342054884,285.84227779304405,13.705515818448136,9.884225387469021,155789,72.11859457463457,0.025042301797289793,2,2,4,6,4,13,24,6.451148669033115,3.192167631226947,155789,49.48215883707704,0.00808755588577228,0.3272,0.55,0.5635,0.5635,0.5635,0.618,0.618,0.5731452925398275,0,155789,0,0,12519.388166642344,12598.189211246916,12678.66113714451,12711.975913873146,12678.66113714451,12871.461854843776,12995.376602698252,12718.807526457844,74.24398082898227,100,0.583733818398768,7.424398082898227,8,8,3,1
Apocynaceae,2.5464790894703255,3.183098861837907,4.45633840657307,7.957747154594767,4.45633840657307,27.69296009798979,222.4986104424697,9.794487536792678,7.3127375389878395,85904,74.66176777006226,0.024950157595874455,2,2,3,4,3,10,24,4.4047425032594525,2.177288543889462,85904,49.43055223496712,0.007428639686862475,0.38,0.382,0.382,0.5928561792027417,0.382,0.8,0.8,0.5933620450502478,0,85904,0,0,2453.8146945694234,2458.0938916483583,2485.852072978216,2496.623823626951,2485.852072978216,2528.556055683288,2534.4756959012457,2495.3383649508755,17.855759429807204,100,0.7155646577076019,1.7855759429807203,11,11,7,1
Araliaceae,2.5464790894703255,3.183098861837907,6.047887837492023,9.23098669932993,6.047887837492023,28.480777066294642,73.21127382227186,10.807553749148573,7.34715856858488,2422,67.98169816332114,0.1492905587982594,2,2,3,5,3,10,16,4.996696944673824,2.164828462015752,2422,43.32519034045737,0.043988223172234685,0.42271083683473387,0.42271083683473387,0.42271083683473387,0.42271083683473387,0.42271083683473387,0.42271083683473387,0.42271083683473387,0.42271083683473387,0,2422,0,0,61.369223102173464,63.91559088521221,66.52801584679187,67.74726646656885,66.52801584679187,71.88198896698583,72.639562354189,67.80918964061719,1.9123187357198899,100,2.8201468648350065,0.19123187357198898,1,1,1,1
Araucariaceae,2.5464790894703255,3.183098861837907,4.45633840657307,7.957747154594767,4.45633840657307,33.661270463935864,174.1155077425335,10.627422568167527,8.840301441712878,8051,83.18387064227936,0.09852402840646632,2,2,3,5,3,12,24,5.5898646130915415,2.7909733147738818,8051,49.929175533829266,0.031105040473958345,0.4008,0.4755714285714286,0.4755714285714286,0.4755714285714286,0.4755714285714286,0.4755714285714286,0.4755714285714286,0.47550564082545205,0,8051,0,0,344.38821850471953,346.370277498966,354.25178589854573,358.25349300431526,354.25178589854573,370.650187424647,372.6924435243296,358.7277799920522,6.508223723219072,100,1.8142513867655483,0.6508223723219072,4,4,2,1
Arecaceae,2.5464790894703255,3.819718634205488,11.459155902616464,21.645072260497766,11.459155902616464,50.92958178940651,317.9915762976069,22.890061135630173,13.793968943089087,139546,60.26182656898934,0.036925853959411795,2,2,4,7,4,14,25,7.01504163501641,3.494969001901812,139546,49.821072828082166,0.009355879768132664,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.71,0.87,0.557036181244297,0,139546,0,0,26035.883762741913,26235.57028403332,26447.278904394952,26562.810537616868,26447.278904394952,26847.004107548662,27063.111577442804,26544.529925498275,171.9105803296129,100,0.6476309085604798,17.19105803296129,35,35,24,1
Asparagaceae,3.183098861837907,3.819718634205488,3.819718634205488,5.092958178940651,3.819718634205488,21.04028347674857,49.01972247230376,7.138967742346196,5.316456251840634,339,74.47093814845282,0.28875026760761136,2,2,2,2,2,7,14,3.032448377581121,1.4642111876068427,339,48.28478527224899,0.07952503551762656,0.41825,0.41825,0.41825,0.41825,0.41825,0.41825,0.41825,0.41825,0,339,0,0,2.6684282394842542,2.758109558372631,3.033456564555265,3.2289123634749406,3.033456564555265,3.9616515082478143,4.112824055455674,3.267023331565771,0.3286488373475007,100,10.059580357817364,0.03286488373475007,1,1,1,1
Bignoniaceae,2.5464790894703255,2.5464790894703255,3.819718634205488,6.366197723675814,3.819718634205488,47.7464829275686,246.371851906254,11.637398140765068,13.00627399419987,131853,111.76273112664003,0.03581854093793924,2,2,3,4,3,13,25,5.1879669025354,3.3220255945220454,131853,64.03328426976945,0.009148670080865074,0.35050000000000003,0.35050000000000003,0.46599999999999997,0.46599999999999997,0.46599999999999997,0.7623228395061729,1.0433333333333334,0.4957065541330024,0,131853,0,0,10868.925714501454,10892.421892472837,10971.498189841283,11026.206897021417,10971.498189841283,11195.270596935316,11309.299793704122,11035.285553038228,86.75196101242199,100,0.7861324529888353,8.675196101242198,22,22,14,1
Bixaceae,2.5464790894703255,3.222887597610881,7.639437268410976,12.732395447351628,7.639437268410976,39.78873577297384,84.9887396110721,16.748901720552514,11.656818621268306,406,69.5975104263957,0.5785181945296458,2,2,4,7,4,12.875,15,6.731527093596059,3.1402352877176396,406,46.64967167264405,0.1558472605667969,0.234,0.234,0.234,0.234,0.234,0.36,0.36,0.2911034482758621,0,406,0,0,25.294563612916196,26.528156066897623,27.648335437691316,28.58451892922616,27.648335437691316,30.884986427750544,31.731358378179056,28.51531969153136,1.1623633481367102,100,4.076276754778644,0.11623633481367102,2,2,2,1
