ward,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n.sp,n.genus,n.family,n.order
1,2.5464790894703255,3.183098861837907,4.45633840657307,7.957747154594767,4.45633840657307,24.19155134996809,258.46762758123805,9.294419455131022,6.539235890775611,186080,70.35658248849097,0.015159230456424788,2,2,3,5,3,10,25,4.777864359415306,2.181213982585643,186080,45.65248861214157,0.005056481520025121,0.17,0.45,0.6175,0.6833333333333333,0.6175,0.801,1.1375,0.6757162144956483,0,186080,0,0,5693.018050394455,5721.2917748400505,5775.647506450956,5797.504056497533,5775.647506450956,5859.397593336471,5875.457953677499,5796.248616225511,36.724137012587434,100,0.6335845724385442,3.6724137012587432,223,153,50,24
2,2.5464790894703255,3.183098861837907,3.819718634205488,6.366197723675814,3.819718634205488,25.464790894703256,485.104266544097,8.192116979523057,6.740349830960643,165992,82.27848610815448,0.01654393665700993,2,2,2,4,2,10,25,4.337636753578486,2.3562607141767495,165992,54.321300930348066,0.005783353828859857,0.17,0.35050000000000003,0.64,0.6833333333333333,0.64,0.801,1.21,0.6830560089725439,0,165992,0,0,4677.1444169942,4713.693144911078,4745.612830164386,4760.304755952004,4745.612830164386,4827.000821997326,4848.888112135851,4764.306742660348,30.409691695795747,100,0.6382815662035907,3.040969169579575,204,139,51,26
3,2.5464790894703255,2.5464790894703255,3.5014087480216975,7.002817496043395,3.5014087480216975,38.197186342054884,298.2563633542119,10.985474363646768,10.209540991533645,42152,92.93673312205026,0.04972755705993722,2,2,3,4,3,12,22,5.122556462326817,3.0123265904683234,42152,58.80514178071227,0.014672123118453522,0.17,0.3626,0.5207058823529412,0.618,0.5207058823529412,0.81,1.17,0.6143083959714172,0,42152,0,0,2565.208978601748,2586.1457766749995,2606.9909673367374,2625.2820502340437,2606.9909673367374,2664.4088172669453,2670.1726170105244,2623.916272503881,22.320665386520893,100,0.8506622570399827,2.2320665386520893,180,125,49,25
4,2.5464790894703255,2.5464790894703255,4.138028520389279,8.276057040778557,4.138028520389279,39.78873577297384,241.27889372731335,11.47928113751724,11.249779748507702,32487,98.00073378933573,0.0624150345953478,2,2,3,4,3,10,25,4.907901622187336,2.28045372153505,32487,46.46494361716048,0.012652211963668059,0.17,0.17,0.6014444444444444,0.652,0.6014444444444444,0.801,1.0772,0.62571475283129,0,32487,0,0,2156.7960738757756,2174.901006364916,2197.516674077294,2219.285823971224,2197.516674077294,2288.195854415545,2308.7892422265854,2221.7824656533653,29.654380335105376,100,1.33471124169597,2.9654380335105377,157,112,44,22
5,2.5464790894703255,3.183098861837907,6.684507609859605,12.732395447351628,6.684507609859605,66.84507609859604,230.13804771088067,17.89454886285521,17.190363803910348,10792,96.06480686190093,0.16547565145960713,2,3,4,6,4,13,24,6.175871015567087,3.0320958901735398,10792,49.09584223068693,0.029187168371639226,0.17,0.35050000000000003,0.495,0.5635,0.495,0.8492222222222222,1.0772,0.5736945708876647,0,10792,0,0,1571.2693972889645,1579.0195121026154,1611.7057381195502,1628.4398834903914,1611.7057381195502,1671.83939987756,1684.5202952775076,1626.9276929995906,23.701300898615248,100,1.4568134159002981,2.370130089861525,167,121,45,24
6,2.5464790894703255,3.183098861837907,5.092958178940651,10.185916357881302,5.092958178940651,56.34084985453095,132.41691265245692,15.589022631052313,15.331473324144778,8775,98.3478803450159,0.16366670123381638,2,2,3,5,3,11,23,5.0892307692307694,2.4547682118177914,8775,48.234562807786105,0.026205166785186536,0.17,0.3626,0.5517604166666666,0.59475,0.5517604166666666,0.827,1.0772,0.5971719125201308,0,8775,0,0,978.065568681328,980.0617617900795,999.0593239682053,1010.2343164365386,999.0593239682053,1036.6565704683587,1047.0660234453283,1008.9861157915019,14.118289118022883,100,1.3992550439554614,1.4118289118022882,138,106,43,21
7,2.5464790894703255,2.5464790894703255,4.45633840657307,8.91267681314614,4.45633840657307,47.7464829275686,314.1718576634014,13.28401978727491,14.061871214852355,80709,105.85554252427842,0.049497371058499905,2,2,3,5,3,14,25,5.754091860882925,3.2039248314768356,80709,55.680807830989615,0.011277720710430771,0.17,0.29,0.5770000000000001,0.6833333333333333,0.5770000000000001,1.0772,1.21,0.7713225643041031,0,80709,0,0,9550.774771714177,9582.947814897543,9710.048429140345,9763.53910887487,9710.048429140345,9945.920967517748,10011.662080586966,9763.27907515357,89.51802651567834,100,0.9168848480782598,8.951802651567835,249,168,52,24
8,2.5464790894703255,2.5464790894703255,4.138028520389279,8.91267681314614,4.138028520389279,46.79155326901723,254.64790894703253,13.654841524592442,13.056632844237173,47947,95.61907269829612,0.059628031516709284,2,2,3,5,3,13,23,5.622687550837383,2.9119829343992256,47947,51.78987642600816,0.013298666835463213,0.224,0.29,0.5517604166666666,0.64,0.5517604166666666,0.81,1.21,0.6071515208145596,0,47947,0,0,4750.636790517495,4783.5285462836955,4834.901789627668,4867.418484014865,4834.901789627668,4949.140235267952,4978.40388652225,4864.053972023689,43.09501008208774,100,0.8859895537745865,4.309501008208774,218,147,51,24
9,2.5464790894703255,2.5464790894703255,6.366197723675814,9.549296585513721,6.366197723675814,31.194368846011486,313.53523789103383,11.232128170447028,8.144780362929597,203800,72.51324272063967,0.018041692958001277,2,2,4,5,4,11,25,5.396810598626104,2.17740951776499,203800,40.346228165192706,0.004823230610630665,0.17,0.3626,0.5635,0.6175,0.5635,0.8492222222222222,1.21,0.6181027691313544,0,203800,0,0,9779.756167793692,9846.20458549259,9897.977848588562,9925.085317304129,9897.977848588562,10049.629551232858,10140.626698198348,9931.998161435722,56.885127317720276,100,0.5727460516313388,5.688512731772027,233,157,55,26
10,2.5464790894703255,3.183098861837907,7.002817496043395,10.504226244065093,7.002817496043395,34.69577759403318,308.76058959827697,11.873486617851748,8.485715077067905,94975,71.46776132555419,0.027534918436225245,2,2,4,6,4,12,23,6.076925506712293,2.5106758852556035,94975,41.314903111489954,0.008146780217395396,0.17,0.4055346618357488,0.6175,0.6175,0.6175,1.0772,1.17,0.6885588089090079,0,94975,0,0,5823.336706884456,5830.890286909407,5886.225619848789,5911.350177398241,5886.225619848789,6005.006227714195,6042.329959567556,5912.953255158444,43.69921276081978,100,0.7390420805829423,4.369921276081978,215,148,52,24
