economic_i,dbh.min,dbh.q.025,dbh.q.25,dbh.median,dbh.q.75,dbh.q.975,dbh.max,dbh.mean,dbh.sd,dbh.n,dbh.cv,dbh.se,H.min,H.q.025,H.q.25,H.median,H.q.75,H.q.975,H.max,H.mean,H.sd,H.n,H.cv,H.se,wd.min,wd.q.025,wd.q.25,wd.median,wd.q.75,wd.q.975,wd.max,wd.mean,wd.sd,wd.n,wd.cv,wd.se,agb.min,agb.q.025,agb.q.25,agb.median,agb.q.75,agb.q.975,agb.max,agb.mean,agb.sd,agb.n,agb.cv,agb.se,n,n.sp,n.genus,n.family,n.order
Biodiesel,2.5464790894703255,3.183098861837907,3.819718634205488,6.366197723675814,8.91267681314614,17.188733853924695,67.80000575714742,7.289777791813659,4.291703855594408,2711,58.872903648914296,0.082426144767593093,2,2,3,3,4,7,21,3.595721136112136,1.3917137972384799,2711,38.704719986802615,0.02672915158782493,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0,2711,0,0,9.132960303329595,9.194691991777184,9.641917363134919,9.766086215730969,10.028993716548602,10.641947162486922,11.177388515424418,9.834489913852247,0.37268553793705034,100,3.789576695910876,0.037268553793705035,1,1,1,1,1
Edible oil,2.5464790894703255,3.183098861837907,17.34788879701659,30.239439187460114,42.97183463481174,79.65704901749362,98.6760647169751,31.903657434839033,19.40263018091221,311,60.81631932182294,1.1002222194966347,2,3,4,6,9,13,18,6.855305466237942,3.0661990476708727,311,44.72738760908262,0.17386819674405146,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0.5517604166666666,0,311,0,0,96.59899838376019,97.72965629174061,104.26923703381308,106.57341220172799,109.36056301860432,113.53129756756671,117.79877575812317,106.65057900423932,4.079198044487609,100,3.8248250338382714,0.4079198044487609,1,1,1,1,1
Essential oil,2.5464790894703255,2.5464790894703255,3.819718634205488,5.729577951308232,9.23098669932993,27.374650211806,167.4310001326739,7.846163562107941,6.811529354404314,63523,86.81350191703544,0.027025835712268614,2,2,3,4,6,11,24,4.557388662374258,2.2483741300962983,63523,49.33470231887058,0.008920785142092573,0.3272,0.5275,0.7213333333333334,0.7213333333333334,0.7213333333333334,0.8492222222222222,0.8492222222222222,0.6986483973970615,0,63523,0,0,1804.7275225310655,1814.0064584818067,1833.1095466840793,1841.817830319229,1850.543583638103,1872.7018107987878,1882.9765823243422,1841.9572513376409,13.955378369543435,100,0.7576385586261001,1.3955378369543436,6,6,6,6,5
Firewood,2.5464790894703255,3.183098861837907,7.321127382227186,10.822536130248883,13.687325105903,22.600001919049138,297.9380534680281,11.001688508525598,5.701983702171489,919755,51.82825979623783,0.005945520664820533,2,3,4,6,7,11,25,5.762329098509929,1.987778525580426,919755,34.49609509624228,0.0020726783726905625,0.3453333333333333,0.6175,0.6175,0.6175,0.6175,0.6175,0.6193333333333333,0.6166839280795792,0,919755,0,0,33776.98870616525,33859.19491633833,34094.828616626124,34213.30454503604,34320.41995809837,34573.89592093494,34743.65793988176,34203.5648132457,183.0405337843769,100,0.5351504580993045,18.30405337843769,5,5,5,4,3
Fodder,2.5464790894703255,3.183098861837907,4.7746482927568605,7.957747154594767,11.379578431070517,20.45936793446315,27.69296009798979,8.965728460843438,5.053338004025789,150,56.36282680314861,0.4126033202559196,2,2,3,5,7,9.275000000000006,11,5.253333333333333,2.1742441922668814,150,41.387897060917794,0.1775262949087874,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0,150,0,0,2.3154330522060325,2.497974396448032,2.6580704205644072,2.760404289871509,2.8606170713096177,3.0858101323786427,3.1293420697332177,2.763141181569707,0.15879647629487728,100,5.746954855367432,0.01587964762948773,1,1,1,1,1
Fruit,2.5464790894703255,3.183098861837907,6.047887837492023,12.095775674984045,23.8732414637843,47.7464829275686,317.9915762976069,16.425547648878524,13.723571525263095,346328,83.55016111867715,0.02331972086681561,2,2,3,6,8,13,25,6.180207779908064,3.264939114888999,346328,52.82895383393676,0.005547933981048701,0.2944,0.478,0.5517604166666666,0.5525,0.652,0.9784,0.9784,0.6123506809438088,0,346328,0,0,48715.67043302242,48918.1152020217,49313.26925553671,49544.326080914485,49746.5826834815,50194.44038560991,50564.6120591464,49533.924755491935,342.42169836980054,100,0.691287234072514,34.242169836980054,56,56,37,23,13
Medicinal,2.5464790894703255,3.183098861837907,4.45633840657307,8.91267681314614,17.188733853924695,50.61127190322272,318.3098861837907,13.494960570395685,14.237641912587499,487415,105.50339764475531,0.020393352249197427,2,2,3,4,7,13,25,5.318833027297067,3.123825821656593,487415,58.73141355678284,0.004474426364794275,0.276,0.3626,0.5550327380952381,0.64,0.78,0.88,1.0190000000000001,0.6342996546042334,0,487415,0,0,53826.36080207889,54251.39787331199,54644.45735595238,54950.457783040954,55190.04641667077,55712.249591922475,56160.532736151166,54926.263237998304,394.08100944370113,100,0.7174728193981228,39.40810094437011,108,108,89,38,19
N/A,2.5464790894703255,3.183098861837907,6.366197723675814,12.095775674984045,21.008452488130185,54.11268065124442,308.76058959827697,16.36801871176007,14.831003429803706,26904,90.60964366535059,0.09041950146387977,2,2,3,5,7,12,25,5.496134403806125,2.9116492399386273,26904,52.97631073072526,0.01775131898249582,Inf,NA,NA,NA,NA,NA,-Inf,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,100,NA,0,NA,NA,NA,NA,NA
Ornamental,2.5464790894703255,3.183098861837907,4.138028520389279,8.91267681314614,17.82535362629228,47.7464829275686,317.67326641142313,13.496746948541576,12.96529300580923,621360,96.062355286362,0.016447908823261005,2,2,3,5,7,13,25,5.600358890176388,3.176091818105907,621360,56.71229077259857,0.004029223914577522,0.234,0.35050000000000003,0.46599999999999997,0.5635,0.65,0.8,1.21,0.5696061871605694,0,621360,0,0,60282.98322058167,60657.10064785631,61135.45895414209,61333.41609116548,61612.829968867794,62030.28888451219,62629.48648373964,61359.03932522341,387.95473126413043,100,0.6322698913322954,38.79547312641304,158,158,101,38,22
Paper industry,2.5464790894703255,2.5464790894703255,3.819718634205488,7.321127382227186,17.188733853924695,47.10986315520102,243.18875304441607,12.444661185809666,12.737623913053262,50002,102.35412377138603,0.05696324662928777,2,2,3,5,8,14,25,6.070857165713371,3.3835381030270155,50002,55.73410822669923,0.015131339781888757,0.29,0.29,0.29,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.45557515699372025,0,50002,0,0,4838.253318597723,4847.476851666628,4890.633104991424,4931.13694140452,4954.633010526362,4997.635716060496,5054.628634708457,4925.625876891595,44.38685098695372,100,0.9011413391177983,4.438685098695371,2,2,2,2,2
Spice,2.5464790894703255,2.5464790894703255,3.183098861837907,4.45633840657307,7.321127382227186,15.915494309189533,190.9859317102744,6.024112563831761,4.799930137718161,12103,79.67862630151562,0.04363032014254704,2,2,2,3,4,7,25,3.5682062298603654,1.5936953789655761,12103,44.66376874825259,0.01448634409229577,0.4595977011494253,0.575,0.636,0.636,0.636,0.636,0.96,0.6393929556745217,0,12103,0,0,142.18287499581663,145.57289946060394,152.15818448510706,156.45604121821708,161.70079127300875,168.7009007160475,174.0053358886911,156.5880914681033,6.466103600569496,100,4.1293712312003175,0.6466103600569496,6,6,5,5,4
Timber wood,2.5464790894703255,2.5464790894703255,3.819718634205488,7.002817496043395,11.777465788800255,34.69577759403318,485.104266544097,9.90258501819822,10.681165947593598,1462985,107.86240085759994,0.008830773096281804,2,2,3,4,6,12,25,5.126959606557826,2.6202286809681823,1462985,51.10687194837039,0.0021663032908137503,0.22,0.495,0.6833333333333333,0.6833333333333333,0.79375,1.0772,1.1766666666666667,0.755625531606758,0,1462985,0,0,95360.97495418256,95536.50947169875,96484.52600928246,96807.98952362576,97290.22096324587,98309.43104327121,99182.93566619809,96857.87351140466,691.6026478251455,100,0.7140386452359104,69.16026478251455,79,79,56,25,14
Vegetable,2.5464790894703255,3.183098861837907,7.639437268410976,12.732395447351628,18.46197339865986,38.197186342054884,313.53523789103383,14.310144057751167,9.701634815868466,16076,67.79550769521096,0.07651664586923443,2,2,4,6,7,11,22,5.661171933316745,2.416447059880553,16076,42.684572882505876,0.019058481117038555,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0,16076,0,0,506.02772877217166,509.400036553562,514.8006978259999,519.6063101971201,524.0376202785299,534.917549000906,543.6643203728004,519.9196658329824,6.851859901023408,100,1.3178689615530874,0.6851859901023408,1,1,1,1,1
